;date;avg_ticket_amount_a;num_customers_a;num_transactions_a;total_sales_a
;04 Aug 2019;12.91;9;12;154.9
;05 Aug 2019;16.98;23;28;475.4
;06 Aug 2019;10.47;37;52;544.3
;07 Aug 2019;7.4;13;15;111.0
;08 Aug 2019;12.22;17;21;256.6
;09 Aug 2019;14.15;18;21;297.2
;11 Aug 2019;17.92;8;9;161.3
;12 Aug 2019;12.76;37;49;625.4
;13 Aug 2019;9.42;18;19;178.9
;14 Aug 2019;15.64;17;20;312.8
;15 Aug 2019;11.22;10;12;134.6
;16 Aug 2019;11.97;19;21;251.4
;18 Aug 2019;13.56;14;15;203.4
;19 Aug 2019;11.62;43;53;615.6
;20 Aug 2019;7.07;18;19;134.2
;21 Aug 2019;11.28;15;19;214.3
;22 Aug 2019;5.49;20;22;120.8
;23 Aug 2019;8.53;25;32;273.0
;25 Aug 2019;5.28;16;19;100.3
;26 Aug 2019;11.95;29;37;442.1
;27 Aug 2019;8.76;18;24;210.1
;28 Aug 2019;18.81;15;20;376.2
;29 Aug 2019;9.27;20;24;222.4
;30 Aug 2019;9.55;16;18;171.8
;01 Sep 2019;24.35;10;12;292.2
;02 Sep 2019;15.18;39;48;728.6
;03 Sep 2019;21.21;1;1;21.21
;04 Sep 2019;15.29;37;43;657.3
;05 Sep 2019;18.25;23;28;511.1
;06 Sep 2019;8.13;21;23;187.0
;07 Sep 2019;10.61;1;1;10.61
;08 Sep 2019;19.04;14;15;285.6
;09 Sep 2019;15.16;35;41;621.7
;10 Sep 2019;22.8;10;10;227.9
;11 Sep 2019;5.16;16;17;87.72
;12 Sep 2019;9.74;12;13;126.7
;13 Sep 2019;11.26;12;16;180.2
;15 Sep 2019;12.77;15;18;229.9
;16 Sep 2019;9.94;36;44;437.2
;17 Sep 2019;10.95;16;17;186.2
;18 Sep 2019;11.22;16;19;213.1
;19 Sep 2019;13.32;17;17;226.4
;20 Sep 2019;12.78;17;18;230.0
;21 Sep 2019;9.99;1;1;9.99
;22 Sep 2019;7.39;18;22;162.7
;23 Sep 2019;10.53;39;46;484.3
;24 Sep 2019;13.29;23;27;358.8
;25 Sep 2019;13.73;17;21;288.3
;26 Sep 2019;13.63;12;13;177.2
;27 Sep 2019;6.95;11;13;90.35
;28 Sep 2019;4.24;2;2;8.48
;29 Sep 2019;4.89;16;16;78.27
;30 Sep 2019;9.27;19;23;213.1
;01 Oct 2019;11.09;73;87;965.0
;02 Oct 2019;21.57;18;23;496.0
;03 Oct 2019;8.59;13;13;111.7
;04 Oct 2019;13.84;10;12;166.1
;06 Oct 2019;12.49;13;15;187.3
;07 Oct 2019;10.55;26;33;348.2
;08 Oct 2019;11.63;14;16;186.1
;09 Oct 2019;11.95;10;13;155.3
;10 Oct 2019;20;8;8;160.0
;11 Oct 2019;12.99;9;10;129.9
;13 Oct 2019;16.01;23;24;384.2
;14 Oct 2019;7.13;35;41;292.1
;15 Oct 2019;9.85;41;45;443.1
;16 Oct 2019;6.16;13;14;86.24
;17 Oct 2019;0.99;1;1;0.99
;18 Oct 2019;13.67;32;37;505.7
;20 Oct 2019;14.11;8;8;112.9
;21 Oct 2019;6.98;25;27;188.5
;22 Oct 2019;6.7;25;26;174.2
;23 Oct 2019;6.04;18;21;126.8
;24 Oct 2019;13.11;14;16;209.8
;25 Oct 2019;10.45;16;20;209.0
;27 Oct 2019;8.07;22;23;185.7
;28 Oct 2019;9.18;25;28;256.9
